,Year,Month,Net_Revenue_USD,Profit_USD,Profit_Margin_Pct,Units_Sold,Order_ID,Logistics_Cost_USD,Marketing_Spend_USD,COGS_USD,Unit_Price_USD,Date,Margin_Pct,Logistics_Rate,COGS_Rate
0,2023,1,408301.7,94361.3,19.794242990654205,110629,535,27940.41,43286.62,242713.37,4.358878504672897,2023-01-01,23.110680166161444,6.843079516935638,59.44461411745286
1,2023,2,354938.26,80910.28,19.57114406779661,98261,472,24395.52,39437.88,210194.58,4.418114406779661,2023-02-01,22.79559267575155,6.873172816027215,59.22004012754217
2,2023,3,371116.33,84222.5,20.35087890625,105895,512,24777.09,40046.44,222070.3,4.20291015625,2023-03-01,22.69436648072048,6.676367488329063,59.83846089445861
3,2023,4,357347.48,81665.56999999999,19.951810865191145,100548,497,25161.47,38509.72,212010.72,4.22953722334004,2023-04-01,22.853265958388736,7.041177399655932,59.329009400038316
4,2023,5,360818.12,81284.58,19.92471816283925,99014,479,24584.69,38239.59,216709.26,4.279290187891441,2023-05-01,22.527854199783537,6.8135962794773155,60.0605257851241
5,2023,6,380024.14,81547.23,19.16431492842536,100032,489,26520.31,40979.5,230977.1,4.431574642126789,2023-06-01,21.45843419315415,6.978585623534336,60.779586265230414
6,2023,7,380199.86,84152.04,20.43897338403042,105993,526,26135.08,43060.83,226851.91,4.382604562737643,2023-07-01,22.13363255841283,6.874037249777,59.666489619433314
7,2023,8,392488.52,85791.02,19.33323076923077,106795,520,27153.86,44216.24,235327.4,4.368730769230769,2023-08-01,21.85822403162263,6.918383243413081,59.957779147272895
8,2023,9,371716.66,85697.78,20.28250501002004,103460,499,25393.0,40678.159999999996,219947.72,4.21875751503006,2023-09-01,23.054597552878047,6.83127842588492,59.170799608497504
9,2023,10,403345.37,91848.23,20.372247191011237,113873,534,27310.16,43007.91,241179.07,4.266348314606741,2023-10-01,22.771608857193527,6.7709119854282696,59.794679185235225
10,2023,11,383222.99,84822.43,19.25463157894737,106709,475,26150.97,43358.23,228891.36,4.387136842105263,2023-11-01,22.133961743787864,6.823956464616071,59.727982394793166
11,2023,12,429787.17,97181.04,20.045706214689265,113915,531,29781.35,47310.8,255513.98,4.4255555555555555,2023-12-01,22.611433468337363,6.929325042439029,59.45128143308699
12,2024,1,387196.28,91012.58,20.245456389452333,103187,493,26558.25,41353.1,228272.35,4.485010141987829,2024-01-01,23.50554091067197,6.859118067973173,58.95520225555886
13,2024,2,413143.9,99535.58,20.391431411530814,110812,503,27861.65,42039.13,243707.54,4.505765407554672,2024-02-01,24.09223033427336,6.743812506973962,58.98853643972475
14,2024,3,395718.26,92800.26,19.785999999999998,108500,520,27105.99,42252.8,233559.21,4.576076923076923,2024-03-01,23.45109371500825,6.849820374728223,59.021590259696374
15,2024,4,388949.96,86666.62,19.91010593220339,106387,472,26229.29,41735.43,234318.62,4.359067796610169,2024-04-01,22.28220308854126,6.743615554041965,60.243898726715386
16,2024,5,422960.68,92882.96,19.266325411334552,116206,547,28979.6,47578.69,253519.43,4.407550274223034,2024-05-01,21.96018788318574,6.851606158756884,59.93924305209647
17,2024,6,386594.24,87130.24,19.477151767151767,103587,481,26739.05,43093.52,229631.43,4.46987525987526,2024-06-01,22.537904341254546,6.916567096291967,59.39856475875067
18,2024,7,399964.4,86510.21,19.485460122699386,108302,489,27643.17,43964.23,241846.79,4.410306748466257,2024-07-01,21.62947752349959,6.911407615277759,60.46707907003723
19,2024,8,372987.42,85490.25,19.96496981891348,100191,497,25288.28,41401.19,220807.7,4.399899396378269,2024-08-01,22.920411095902377,6.779928395440253,59.19977140247787
20,2024,9,411851.11,94630.48,19.86699421965318,107847,519,27597.72,43399.23,246223.68,4.509402697495183,2024-09-01,22.976866567143645,6.700897321850123,59.78463430631521
